bacterial infections and mycoses,c01
paralysis,c23.888.592.636
facial paralysis,c23.888.592.636.214
gastroparesis,c23.888.592.636.263
hemiplegia,c23.888.592.636.312
ophthalmoplegia,c23.888.592.636.447
"ophthalmoplegia, chronic progressive external",c23.888.592.636.447.511
kearns-sayre syndrome,c23.888.592.636.447.511.500
ophthalmoplegic migraine,c23.888.592.636.447.600
"supranuclear palsy, progressive",c23.888.592.636.447.690
paraplegia,c23.888.592.636.637
brown-sequard syndrome,c23.888.592.636.637.300
pseudobulbar palsy,c23.888.592.636.711
quadriplegia,c23.888.592.636.786
respiratory paralysis,c23.888.592.636.812
vocal cord paralysis,c23.888.592.636.943
paresis,c23.888.592.643
paraparesis,c23.888.592.643.500
"paraparesis, spastic",c23.888.592.643.500.500
psychophysiologic disorders,c23.888.592.700
pupil disorders,c23.888.592.708
anisocoria,c23.888.592.708.150
miosis,c23.888.592.708.362
horner syndrome,c23.888.592.708.362.500
tonic pupil,c23.888.592.708.575
"reflex, abnormal",c23.888.592.717
seizures,c23.888.592.742
alcohol withdrawal seizures,c23.888.592.742.143
"seizures, febrile",c23.888.592.742.571
status epilepticus,c23.888.592.742.785
epilepsia partialis continua,c23.888.592.742.785.260
sensation disorders,c23.888.592.763
dizziness,c23.888.592.763.237
hearing disorders,c23.888.592.763.393
hearing loss,c23.888.592.763.393.341
deafness,c23.888.592.763.393.341.186
deaf-blind disorders,c23.888.592.763.393.341.186.500
"hearing loss, bilateral",c23.888.592.763.393.341.374
"hearing loss, conductive",c23.888.592.763.393.341.562
"hearing loss, functional",c23.888.592.763.393.341.750
"hearing loss, high-frequency",c23.888.592.763.393.341.812
"hearing loss, mixed conductive-sensorineural",c23.888.592.763.393.341.849
"hearing loss, sensorineural",c23.888.592.763.393.341.887
"hearing loss, central",c23.888.592.763.393.341.887.432
"hearing loss, noise-induced",c23.888.592.763.393.341.887.460
presbycusis,c23.888.592.763.393.341.887.772
usher syndromes,c23.888.592.763.393.341.887.886
"hearing loss, sudden",c23.888.592.763.393.341.900
"hearing loss, unilateral",c23.888.592.763.393.341.950
hyperacusis,c23.888.592.763.393.505
tinnitus,c23.888.592.763.393.670
olfaction disorders,c23.888.592.763.550
somatosensory disorders,c23.888.592.763.770
hyperalgesia,c23.888.592.763.770.400
hyperesthesia,c23.888.592.763.770.450
hypesthesia,c23.888.592.763.770.500
paresthesia,c23.888.592.763.770.875
taste disorders,c23.888.592.763.861
ageusia,c23.888.592.763.861.184
dysgeusia,c23.888.592.763.861.479
vision disorders,c23.888.592.763.941
alice in wonderland syndrome,c23.888.592.763.941.036
amblyopia,c23.888.592.763.941.073
blindness,c23.888.592.763.941.162
amaurosis fugax,c23.888.592.763.941.162.125
"blindness, cortical",c23.888.592.763.941.162.250
deaf-blind disorders,c23.888.592.763.941.162.625
color vision defects,c23.888.592.763.941.256
diplopia,c23.888.592.763.941.339
hemianopsia,c23.888.592.763.941.512
photophobia,c23.888.592.763.941.661
scotoma,c23.888.592.763.941.811
"vision, low",c23.888.592.763.941.848
sleep wake disorders,c23.888.592.796
sleep deprivation,c23.888.592.796.772
susac syndrome,c23.888.592.848
"urinary bladder, neurogenic",c23.888.592.900
vertigo,c23.888.592.958
benign paroxysmal positional vertigo,c23.888.592.958.500
voice disorders,c23.888.592.979
aphonia,c23.888.592.979.100
dysphonia,c23.888.592.979.325
hoarseness,c23.888.592.979.550
oral manifestations,c23.888.619
oral hemorrhage,c23.888.619.500
polydipsia,c23.888.663
"polydipsia, psychogenic",c23.888.663.500
prodromal symptoms,c23.888.672
pseudophakia,c23.888.681
renal colic,c23.888.721
reticulocytosis,c23.888.760
"signs and symptoms, digestive",c23.888.821
abdominal pain,c23.888.821.030
"abdomen, acute",c23.888.821.030.249
aerophagy,c23.888.821.061
anorexia,c23.888.821.108
constipation,c23.888.821.150
diarrhea,c23.888.821.214
"diarrhea, infantile",c23.888.821.214.500
dyspepsia,c23.888.821.236
encopresis,c23.888.821.266
eructation,c23.888.821.297
flatulence,c23.888.821.360
food intolerance,c23.888.821.387
gagging,c23.888.821.414
halitosis,c23.888.821.475
heartburn,c23.888.821.525
hiccup,c23.888.821.578
hyperphagia,c23.888.821.645
bulimia,c23.888.821.645.500
nausea,c23.888.821.712
postoperative nausea and vomiting,c23.888.821.712.700
pica,c23.888.821.825
vomiting,c23.888.821.937
hematemesis,c23.888.821.937.019
morning sickness,c23.888.821.937.049
hyperemesis gravidarum,c23.888.821.937.049.500
postoperative nausea and vomiting,c23.888.821.937.059
"vomiting, anticipatory",c23.888.821.937.080
"signs and symptoms, respiratory",c23.888.852
epistaxis,c23.888.852.040
hypoxia,c23.888.852.079
fetal hypoxia,c23.888.852.079.594
apnea,c23.888.852.130
cheyne-stokes respiration,c23.888.852.227
cough,c23.888.852.293
dyspnea,c23.888.852.371
"dyspnea, paroxysmal",c23.888.852.371.396
hemoptysis,c23.888.852.430
hoarseness,c23.888.852.490
hypercapnia,c23.888.852.544
hyperoxia,c23.888.852.567
hyperventilation,c23.888.852.591
hypocapnia,c23.888.852.614
hypoventilation,c23.888.852.638
infantile apparent life-threatening event,c23.888.852.700
mouth breathing,c23.888.852.761
respiratory sounds,c23.888.852.779
snoring,c23.888.852.779.850
sneezing,c23.888.852.889
tachypnea,c23.888.852.944
transient tachypnea of the newborn,c23.888.852.944.500
skin manifestations,c23.888.885
cafe-au-lait spots,c23.888.885.250
cellulite,c23.888.885.281
ecchymosis,c23.888.885.312
erythema,c23.888.885.328
flushing,c23.888.885.344
jaundice,c23.888.885.375
"jaundice, obstructive",c23.888.885.375.500
livedo reticularis,c23.888.885.437
necrolytic migratory erythema,c23.888.885.468
pallor,c23.888.885.500
pruritus,c23.888.885.625
tinea pedis,c23.888.885.625.500
purpura,c23.888.885.687
purpura fulminans,c23.888.885.687.230
"purpura, hyperglobulinemic",c23.888.885.687.250
"purpura, schoenlein-henoch",c23.888.885.687.375
"purpura, thrombocytopenic",c23.888.885.687.687
"purpura, thrombocytopenic, idiopathic",c23.888.885.687.687.600
"purpura, thrombotic thrombocytopenic",c23.888.885.687.687.680
waterhouse-friderichsen syndrome,c23.888.885.687.843
striae distensae,c23.888.885.800
sleepiness,c23.888.900
travel-related illness,c23.888.914
jet lag syndrome,c23.888.914.500
urological manifestations,c23.888.942
hypercalciuria,c23.888.942.337
lower urinary tract symptoms,c23.888.942.343
dysuria,c23.888.942.343.274
nocturia,c23.888.942.343.550
prostatism,c23.888.942.343.600
"urinary bladder, overactive",c23.888.942.343.780
"urinary bladder, underactive",c23.888.942.343.790
urinary incontinence,c23.888.942.343.800
"urinary incontinence, stress",c23.888.942.343.800.500
"urinary incontinence, urge",c23.888.942.343.800.750
oliguria,c23.888.942.400
polyuria,c23.888.942.600
proteinuria,c23.888.942.750
albuminuria,c23.888.942.750.269
hemoglobinuria,c23.888.942.750.634
urinoma,c23.888.942.900
virilism,c23.888.971
hirsutism,c23.888.971.468
occupational diseases,c24
agricultural workers' diseases,c24.080
farmer's lung,c24.080.365
silo filler's disease,c24.080.752
"asthma, occupational",c24.102
bird fancier's lung,c24.125
"dermatitis, occupational",c24.270
hand-arm vibration syndrome,c24.400
high pressure neurological syndrome,c24.410
inert gas narcosis,c24.426
laboratory infection,c24.506
occupational stress,c24.580
"burnout, professional",c24.580.500
persian gulf syndrome,c24.653
pneumoconiosis,c24.800
asbestosis,c24.800.127
berylliosis,c24.800.225
byssinosis,c24.800.323
caplan syndrome,c24.800.340
siderosis,c24.800.773
silicosis,c24.800.834
anthracosilicosis,c24.800.834.201
silicotuberculosis,c24.800.834.752
"sleep disorders, circadian rhythm",c24.900
chemically-induced disorders,c25
drug-related side effects and adverse reactions,c25.100
"akathisia, drug-induced",c25.100.249
anticholinergic syndrome,c25.100.311
cardiotoxicity,c25.100.389
drug hypersensitivity,c25.100.468
"asthma, aspirin-induced",c25.100.468.189
drug eruptions,c25.100.468.380
acute generalized exanthematous pustulosis,c25.100.468.380.174
drug hypersensitivity syndrome,c25.100.468.380.262
erythema nodosum,c25.100.468.380.375
hand-foot syndrome,c25.100.468.380.587
nicolau syndrome,c25.100.468.380.693
serum sickness,c25.100.468.380.800
stevens-johnson syndrome,c25.100.468.380.900
chemical and drug induced liver injury,c25.100.562
"chemical and drug induced liver injury, chronic",c25.100.562.200
"dyskinesia, drug-induced",c25.100.750
injection site reaction,c25.100.781
metabolic side effects of drugs and substances,c25.100.812
propofol infusion syndrome,c25.100.844
serotonin syndrome,c25.100.875
poisoning,c25.723
arsenic poisoning,c25.723.098
bites and stings,c25.723.127
insect bites and stings,c25.723.127.071
scorpion stings,c25.723.127.142
snake bites,c25.723.127.442
spider bites,c25.723.127.723
tick bites,c25.723.127.789
tick toxicoses,c25.723.127.789.500
tick paralysis,c25.723.127.789.500.707
carbon tetrachloride poisoning,c25.723.177
chemical and drug induced liver injury,c25.723.260
"chemical and drug induced liver injury, chronic",c25.723.260.200
fluoride poisoning,c25.723.380
foodborne diseases,c25.723.415
botulism,c25.723.415.151
ciguatera poisoning,c25.723.415.246
favism,c25.723.415.341
mushroom poisoning,c25.723.415.551
salmonella food poisoning,c25.723.415.738
shellfish poisoning,c25.723.415.792
staphylococcal food poisoning,c25.723.415.846
gas poisoning,c25.723.455
carbon monoxide poisoning,c25.723.455.245
inert gas narcosis,c25.723.455.571
heavy metal poisoning,c25.723.522
argyria,c25.723.522.313
cadmium poisoning,c25.723.522.625
lead poisoning,c25.723.522.750
"lead poisoning, nervous system",c25.723.522.750.500
"lead poisoning, nervous system, adult",c25.723.522.750.500.400
"lead poisoning, nervous system, childhood",c25.723.522.750.500.700
manganese poisoning,c25.723.522.813
mercury poisoning,c25.723.522.875
"mercury poisoning, nervous system",c25.723.522.875.500
acrodynia,c25.723.522.875.500.100
mycotoxicosis,c25.723.680
ergotism,c25.723.680.262
mushroom poisoning,c25.723.680.551
neurotoxicity syndromes,c25.723.705
"akathisia, drug-induced",c25.723.705.100
"alcohol-induced disorders, nervous system",c25.723.705.150
alcohol amnestic disorder,c25.723.705.150.100
alcoholic korsakoff syndrome,c25.723.705.150.100.250
alcohol withdrawal delirium,c25.723.705.150.200
alcohol withdrawal seizures,c25.723.705.150.300
alcoholic neuropathy,c25.723.705.150.400
"dyskinesia, drug-induced",c25.723.705.200
mptp poisoning,c25.723.705.400
neuroleptic malignant syndrome,c25.723.705.600
organophosphate poisoning,c25.723.717
plant poisoning,c25.723.756
favism,c25.723.756.375
lathyrism,c25.723.756.558
milk sickness,c25.723.756.600
"psychoses, substance-induced",c25.723.809
"psychoses, alcoholic",c25.723.809.750
water intoxication,c25.723.932
substance-related disorders,c25.775
alcohol-related disorders,c25.775.100
alcohol-induced disorders,c25.775.100.087
"alcohol-induced disorders, nervous system",c25.775.100.087.193
alcohol amnestic disorder,c25.775.100.087.193.100
alcoholic korsakoff syndrome,c25.775.100.087.193.100.250
alcohol withdrawal delirium,c25.775.100.087.193.200
alcohol withdrawal seizures,c25.775.100.087.193.300
alcoholic neuropathy,c25.775.100.087.193.400
"cardiomyopathy, alcoholic",c25.775.100.087.250
fetal alcohol spectrum disorders,c25.775.100.087.323
"liver diseases, alcoholic",c25.775.100.087.645
"fatty liver, alcoholic",c25.775.100.087.645.390
"hepatitis, alcoholic",c25.775.100.087.645.490
"liver cirrhosis, alcoholic",c25.775.100.087.645.550
"pancreatitis, alcoholic",c25.775.100.087.730
"psychoses, alcoholic",c25.775.100.087.750
alcoholic intoxication,c25.775.100.175
alcoholism,c25.775.100.250
binge drinking,c25.775.100.437
wernicke encephalopathy,c25.775.100.625
amphetamine-related disorders,c25.775.225
cocaine-related disorders,c25.775.300
drug overdose,c25.775.383
inhalant abuse,c25.775.467
marijuana abuse,c25.775.635
neonatal abstinence syndrome,c25.775.650
opioid-related disorders,c25.775.675
heroin dependence,c25.775.675.400
morphine dependence,c25.775.675.600
opium dependence,c25.775.675.800
phencyclidine abuse,c25.775.700
"psychoses, substance-induced",c25.775.746
"substance abuse, intravenous",c25.775.793
"substance abuse, oral",c25.775.814
substance withdrawal syndrome,c25.775.835
alcohol withdrawal delirium,c25.775.835.250
alcohol withdrawal seizures,c25.775.835.500
tobacco use disorder,c25.775.912
wounds and injuries,c26
abdominal injuries,c26.017
"hernia, diaphragmatic, traumatic",c26.017.258
splenic rupture,c26.017.680
splenosis,c26.017.680.500
stomach rupture,c26.017.809
"amputation, traumatic",c26.062
arm injuries,c26.088
forearm injuries,c26.088.268
radius fractures,c26.088.268.556
ulna fractures,c26.088.268.807
humeral fractures,c26.088.390
tennis elbow,c26.088.890
wrist injuries,c26.088.906
asphyxia,c26.103
athletic injuries,c26.115
back injuries,c26.117
spinal injuries,c26.117.500
spinal fractures,c26.117.500.500
barotrauma,c26.120
blast injuries,c26.120.126
decompression sickness,c26.120.248
battered child syndrome,c26.130
birth injuries,c26.141
neonatal brachial plexus palsy,c26.141.294
"paralysis, obstetric",c26.141.587
bites and stings,c26.176
"bites, human",c26.176.071
insect bites and stings,c26.176.143
scorpion stings,c26.176.443
snake bites,c26.176.724
spider bites,c26.176.790
tick bites,c26.176.793
burns,c26.200
"burns, chemical",c26.200.156
"burns, electric",c26.200.239
"burns, inhalation",c26.200.322
smoke inhalation injury,c26.200.322.800
eye burns,c26.200.503
sunburn,c26.200.855
cold injury,c26.212
frostbite,c26.212.500
chilblains,c26.212.500.217
contrecoup injury,c26.224
crush injuries,c26.257
crush syndrome,c26.257.500
joint dislocations,c26.289
"diastasis, bone",c26.289.192
pubic symphysis diastasis,c26.289.192.500
"diastasis, muscle",c26.289.288
fracture dislocation,c26.289.336
colles' fracture,c26.289.336.500
monteggia's fracture,c26.289.336.750
salter-harris fractures,c26.289.336.875
hip dislocation,c26.289.384
knee dislocation,c26.289.500
patellar dislocation,c26.289.625
shoulder dislocation,c26.289.750
drowning,c26.304
near drowning,c26.304.500
electric injuries,c26.324
"burns, electric",c26.324.323
conducted energy weapon injuries,c26.324.436
lightning injuries,c26.324.550
esophageal perforation,c26.348
extravasation of diagnostic and therapeutic materials,c26.371
foreign bodies,c26.392
bezoars,c26.392.183
eye foreign bodies,c26.392.421
foreign-body migration,c26.392.500
artificial lens implant migration,c26.392.500.249
intrauterine device migration,c26.392.500.500
foreign-body reaction,c26.392.560
"granuloma, foreign-body",c26.392.560.325
"fractures, bone",c26.404
ankle fractures,c26.404.014
fracture dislocation,c26.404.026
salter-harris fractures,c26.404.026.500
"fractures, avulsion",c26.404.038
femoral fractures,c26.404.061
hip fractures,c26.404.061.425
femoral neck fractures,c26.404.061.425.500
"fractures, closed",c26.404.124
"fractures, comminuted",c26.404.186
"fractures, compression",c26.404.195
"fractures, malunited",c26.404.249
"fractures, multiple",c26.404.280
"fractures, open",c26.404.311
"fractures, spontaneous",c26.404.374
"fractures, stress",c26.404.437
"fractures, ununited",c26.404.468
pseudarthrosis,c26.404.468.627
humeral fractures,c26.404.500
intra-articular fractures,c26.404.505
osteoporotic fractures,c26.404.545
periprosthetic fractures,c26.404.550
radius fractures,c26.404.562
colles' fracture,c26.404.562.356
rib fractures,c26.404.593
shoulder fractures,c26.404.625
bankart lesions,c26.404.625.500
skull fractures,c26.404.750
jaw fractures,c26.404.750.467
mandibular fractures,c26.404.750.467.441
maxillary fractures,c26.404.750.467.611
orbital fractures,c26.404.750.684
"skull fracture, basilar",c26.404.750.821
"skull fracture, depressed",c26.404.750.890
zygomatic fractures,c26.404.750.959
spinal fractures,c26.404.812
tibial fractures,c26.404.875
ulna fractures,c26.404.937
monteggia's fracture,c26.404.937.547
"fractures, cartilage",c26.411
